t,Size,Time
0,1000,0.0061244964599609375
1,1000,0.00596165657043457
2,1000,0.0059926509857177734
3,1000,0.005927562713623047
4,1000,0.005964040756225586
5,1000,0.005905628204345703
6,1000,0.005922079086303711
7,1000,0.005826234817504883
8,1000,0.005854606628417969
9,1000,0.005919694900512695
0,5000,0.03518533706665039
1,5000,0.03484535217285156
2,5000,0.03458833694458008
3,5000,0.03478574752807617
4,5000,0.034409523010253906
5,5000,0.034269094467163086
6,5000,0.03477931022644043
7,5000,0.035126447677612305
8,5000,0.03653717041015625
9,5000,0.036345481872558594
0,1000,0.008638381958007812
1,1000,0.00851750373840332
2,1000,0.008424043655395508
3,1000,0.008388280868530273
4,1000,0.008356809616088867
5,1000,0.008507013320922852
6,1000,0.008544445037841797
7,1000,0.008503437042236328
8,1000,0.008304834365844727
9,1000,0.008373498916625977
0,5000,0.05336928367614746
1,5000,0.053231000900268555
2,5000,0.05350685119628906
3,5000,0.05350136756896973
4,5000,0.05359530448913574
5,5000,0.05336618423461914
6,5000,0.05377960205078125
7,5000,0.053716421127319336
8,5000,0.053841352462768555
9,5000,0.053772687911987305
0,1000,0.006028652191162109
1,1000,0.005736112594604492
2,1000,0.006151676177978516
3,1000,0.0061800479888916016
4,1000,0.005831718444824219
5,1000,0.005888223648071289
6,1000,0.006519794464111328
7,1000,0.00750732421875
8,1000,0.006937265396118164
9,1000,0.00570368766784668
0,5000,0.047495126724243164
1,5000,0.03555583953857422
2,5000,0.03468608856201172
3,5000,0.03883695602416992
4,5000,0.03881335258483887
5,5000,0.03664517402648926
6,5000,0.03708291053771973
7,5000,0.03765249252319336
8,5000,0.03897571563720703
9,5000,0.038445234298706055
